id,title,property_type,price_eur,city,neighborhood,lat,lon,size_sqm,rooms,year_built,floor,max_floor,parking,heating,dist_to_metro_min,dist_to_park_min,description,source_url,price_per_sqm,age,is_new_build,distance_score,text_for_embedding
1,Land  camere Colentina,land,1041300,Bucuresti,Colentina,44.435813793888734,26.124992337262004,890,,,,,no,,13,10,"Proprietate in zona Colentina, suprafata 890 mp, pret 1041300 EUR.",https://example.com/listing/1,1170.0,,0,6.2,"land in Colentina, Bucuresti, 890 mp, nan camere, construit in nan. Detalii: Proprietate in zona Colentina, suprafata 890 mp, pret 1041300 EUR."
2,House 2 camere Pipera,house,156849,Bucuresti,Pipera,44.42471474721121,26.10716405022196,97,2.0,1982.0,,,yes,central,3,5,"Proprietate in zona Pipera, suprafata 97 mp, pret 156849 EUR.",https://example.com/listing/2,1617.0,43.0,0,14.2,"house in Pipera, Bucuresti, 97 mp, 2.0 camere, construit in 1982.0. Detalii: Proprietate in zona Pipera, suprafata 97 mp, pret 156849 EUR."
3,Apartment 1 camere Dristor,apartment,115284,Bucuresti,Dristor,44.42985387856009,26.183147489556777,78,1.0,1976.0,1.0,10.0,no,gaz,9,6,"Proprietate in zona Dristor, suprafata 78 mp, pret 115284 EUR.",https://example.com/listing/3,1478.0,49.0,0,10.2,"apartment in Dristor, Bucuresti, 78 mp, 1.0 camere, construit in 1976.0. Detalii: Proprietate in zona Dristor, suprafata 78 mp, pret 115284 EUR."
4,House 3 camere Militari,house,94520,Bucuresti,Militari,44.40148010008495,26.111715258279084,68,3.0,2005.0,,,no,electrica,10,9,"Proprietate in zona Militari, suprafata 68 mp, pret 94520 EUR.",https://example.com/listing/4,1390.0,20.0,0,8.4,"house in Militari, Bucuresti, 68 mp, 3.0 camere, construit in 2005.0. Detalii: Proprietate in zona Militari, suprafata 68 mp, pret 94520 EUR."
5,Apartment 2 camere Militari,apartment,150672,Bucuresti,Militari,44.40606102747236,26.10684629763052,86,2.0,2021.0,9.0,10.0,no,termoficare,7,14,"Proprietate in zona Militari, suprafata 86 mp, pret 150672 EUR.",https://example.com/listing/5,1752.0,4.0,1,8.2,"apartment in Militari, Bucuresti, 86 mp, 2.0 camere, construit in 2021.0. Detalii: Proprietate in zona Militari, suprafata 86 mp, pret 150672 EUR."
6,House 4 camere Drumul Taberei,house,140180,Bucuresti,Drumul Taberei,44.40584884347826,26.05608636741365,86,4.0,1984.0,,,no,termoficare,7,4,"Proprietate in zona Drumul Taberei, suprafata 86 mp, pret 140180 EUR.",https://example.com/listing/6,1630.0,41.0,0,12.2,"house in Drumul Taberei, Bucuresti, 86 mp, 4.0 camere, construit in 1984.0. Detalii: Proprietate in zona Drumul Taberei, suprafata 86 mp, pret 140180 EUR."
7,Apartment 4 camere Pipera,apartment,132804,Bucuresti,Pipera,44.42598168541058,26.09399164974851,102,4.0,2018.0,7.0,10.0,no,gaz,10,6,"Proprietate in zona Pipera, suprafata 102 mp, pret 132804 EUR.",https://example.com/listing/7,1302.0,7.0,1,9.6,"apartment in Pipera, Bucuresti, 102 mp, 4.0 camere, construit in 2018.0. Detalii: Proprietate in zona Pipera, suprafata 102 mp, pret 132804 EUR."
8,House 3 camere Dristor,house,137923,Bucuresti,Dristor,44.42678740233341,26.117045511877613,107,3.0,1979.0,,,yes,termoficare,19,2,"Proprietate in zona Dristor, suprafata 107 mp, pret 137923 EUR.",https://example.com/listing/8,1289.0,46.0,0,5.8,"house in Dristor, Bucuresti, 107 mp, 3.0 camere, construit in 1979.0. Detalii: Proprietate in zona Dristor, suprafata 107 mp, pret 137923 EUR."
9,House 4 camere Titan,house,141848,Bucuresti,Titan,44.4192449365832,26.16499265770142,119,4.0,2023.0,,,yes,gaz,4,12,"Proprietate in zona Titan, suprafata 119 mp, pret 141848 EUR.",https://example.com/listing/9,1192.0,2.0,1,10.8,"house in Titan, Bucuresti, 119 mp, 4.0 camere, construit in 2023.0. Detalii: Proprietate in zona Titan, suprafata 119 mp, pret 141848 EUR."
10,House 2 camere Dorobanti,house,67275,Bucuresti,Dorobanti,44.41340991637057,26.089170198567675,45,2.0,2000.0,,,no,termoficare,15,12,"Proprietate in zona Dorobanti, suprafata 45 mp, pret 67275 EUR.",https://example.com/listing/10,1495.0,25.0,0,4.2,"house in Dorobanti, Bucuresti, 45 mp, 2.0 camere, construit in 2000.0. Detalii: Proprietate in zona Dorobanti, suprafata 45 mp, pret 67275 EUR."
11,House 3 camere Titan,house,85680,Bucuresti,Titan,44.41283698588855,26.06068484525576,72,3.0,1984.0,,,yes,central,4,7,"Proprietate in zona Titan, suprafata 72 mp, pret 85680 EUR.",https://example.com/listing/11,1190.0,41.0,0,12.8,"house in Titan, Bucuresti, 72 mp, 3.0 camere, construit in 1984.0. Detalii: Proprietate in zona Titan, suprafata 72 mp, pret 85680 EUR."
