id,title,property_type,price_eur,city,neighborhood,lat,lon,size_sqm,rooms,year_built,floor,max_floor,parking,heating,dist_to_metro_min,dist_to_park_min,description,source_url
1,Land  camere Colentina,land,1041300,Bucuresti,Colentina,44.435813793888734,26.124992337262004,890,,,,,no,,13,10,"Proprietate in zona Colentina, suprafata 890 mp, pret 1041300 EUR.",https://example.com/listing/1
2,House 2 camere Pipera,house,156849,Bucuresti,Pipera,44.42471474721121,26.107164050221957,97,2.0,1982.0,,,yes,central,3,5,"Proprietate in zona Pipera, suprafata 97 mp, pret 156849 EUR.",https://example.com/listing/2
3,Apartment 1 camere Dristor,apartment,115284,Bucuresti,Dristor,44.42985387856009,26.183147489556777,78,1.0,1976.0,1.0,10.0,no,gaz,9,6,"Proprietate in zona Dristor, suprafata 78 mp, pret 115284 EUR.",https://example.com/listing/3
4,House 3 camere Militari,house,94520,Bucuresti,Militari,44.40148010008495,26.111715258279084,68,3.0,2005.0,,,no,electrica,10,9,"Proprietate in zona Militari, suprafata 68 mp, pret 94520 EUR.",https://example.com/listing/4
5,Apartment 2 camere Militari,apartment,150672,Bucuresti,Militari,44.40606102747236,26.106846297630522,86,2.0,2021.0,9.0,10.0,no,termoficare,7,14,"Proprietate in zona Militari, suprafata 86 mp, pret 150672 EUR.",https://example.com/listing/5
6,House 4 camere Drumul Taberei,house,140180,Bucuresti,Drumul Taberei,44.40584884347826,26.05608636741365,86,4.0,1984.0,,,no,termoficare,7,4,"Proprietate in zona Drumul Taberei, suprafata 86 mp, pret 140180 EUR.",https://example.com/listing/6
7,Apartment 4 camere Pipera,apartment,132804,Bucuresti,Pipera,44.42598168541058,26.09399164974851,102,4.0,2018.0,7.0,10.0,no,gaz,10,6,"Proprietate in zona Pipera, suprafata 102 mp, pret 132804 EUR.",https://example.com/listing/7
8,House 3 camere Dristor,house,137923,Bucuresti,Dristor,44.42678740233341,26.117045511877613,107,3.0,1979.0,,,yes,termoficare,19,2,"Proprietate in zona Dristor, suprafata 107 mp, pret 137923 EUR.",https://example.com/listing/8
9,House 4 camere Titan,house,141848,Bucuresti,Titan,44.4192449365832,26.16499265770142,119,4.0,2023.0,,,yes,gaz,4,12,"Proprietate in zona Titan, suprafata 119 mp, pret 141848 EUR.",https://example.com/listing/9
10,House 2 camere Dorobanti,house,67275,Bucuresti,Dorobanti,44.41340991637057,26.089170198567675,45,2.0,2000.0,,,no,termoficare,15,12,"Proprietate in zona Dorobanti, suprafata 45 mp, pret 67275 EUR.",https://example.com/listing/10
